"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1421277_at",-11.2035749358728,11.7445487954604,-17.6233261721078,6.09334673733931e-15,3.47937811799211e-13,21.5166420487393
"1417480_at",-12.0814633027887,12.6070109788115,-17.5404371159883,6.74877596539177e-15,3.80546604748528e-13,21.4455737405634
"1423653_at",-9.91228262520244,8.62974723646986,-17.5191868755598,6.92833915704641e-15,3.81414998366432e-13,21.4272741680988
"1455790_at",-10.5857927316325,11.9839914835453,-17.5156835225116,6.95841607284252e-15,3.81414998366432e-13,21.4242541288384
"1448149_at",-10.0259938831848,9.49305639606158,-17.4980437166497,7.11193346120594e-15,3.81414998366432e-13,21.409034349048
"1415907_at",-11.1646217499076,10.582048773082,-17.4979857192165,7.11244397567506e-15,3.81414998366432e-13,21.4089842711255
"1418575_at",-11.4090291805337,10.5327539228595,-17.4895689009732,7.18693745536394e-15,3.81414998366432e-13,21.4017141745254
"1427270_a_at",-11.0468341136003,11.6280310222114,-17.4648163963608,7.41074894290032e-15,3.88439609326187e-13,21.3803041584734
"1451572_a_at",-11.4209531175424,10.9953853274887,-17.4506830403956,7.54178172519237e-15,3.88439609326187e-13,21.3680593175987
"1451294_s_at",-10.5621804316527,10.6110175295858,-17.4468609480315,7.57762926639426e-15,3.88439609326187e-13,21.3647454363976
"1426799_at",-11.519574889141,10.8231175909551,-17.4132760158669,7.90034666205488e-15,3.9457851752154e-13,21.3355803189722
"1423883_at",-11.8844180708356,12.2637382752523,-17.4067601979442,7.96459522469659e-15,3.9457851752154e-13,21.3299124374031
"1452836_at",-10.0714928072364,9.39993924602878,-17.4066476666929,7.96570958850051e-15,3.9457851752154e-13,21.3298145231075
"1436037_at",-10.3774834229681,10.2584409697147,-17.3671542842925,8.36699347938014e-15,3.9457851752154e-13,21.2953936845168
"1438030_at",-9.52186888850148,9.72340337280926,-17.3654774999262,8.38448916614759e-15,3.9457851752154e-13,21.2939297325406
"1451316_a_at",-11.9757917428201,11.4421795542987,-17.3639887311995,8.40005496835998e-15,3.9457851752154e-13,21.2926297583281
"1422702_at",-10.838607549287,10.6986325174625,-17.3619523813256,8.42139467634429e-15,3.9457851752154e-13,21.2908513791663
