"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1423722_at",-12.0747097890121,10.9214776494066,-18.2705396839292,2.78302667915075e-15,2.10065993352346e-13,22.0549251867987
"1452366_at",-10.5613857938171,9.38671955827844,-18.2697003111452,2.78581259220668e-15,2.10065993352346e-13,22.0542457334867
"1421277_at",-11.6129160766697,11.7445487954604,-18.2672235424755,2.7940500113369e-15,2.10065993352346e-13,22.0522405687777
"1452666_a_at",-11.0461022350075,11.9545026657938,-18.1805655566059,3.09881032091878e-15,2.28499658797724e-13,21.981822505079
"1455389_s_at",-10.3812947637879,11.0962986528663,-18.1688185779174,3.14270852229206e-15,2.28499658797724e-13,21.972237794968
"1452836_at",-10.5050918758228,9.39993924602878,-18.1560406673083,3.19119452543928e-15,2.28499658797724e-13,21.9618012664306
"1451572_a_at",-11.8439577913831,10.9953853274887,-18.0970144290133,3.42548144446861e-15,2.38293400922135e-13,21.9134463659153
"1417150_at",-10.810913697696,9.84448671962171,-18.0950395977194,3.43362249167342e-15,2.38293400922135e-13,21.9118244486753
"1422702_at",-11.2793099526733,10.6986325174625,-18.0678967664446,3.54757790726534e-15,2.42471574843544e-13,21.8895051266519
"1449198_a_at",-11.1218645985356,11.6934516598762,-18.0337273885309,3.69665103834867e-15,2.47733496652401e-13,21.8613360152864
"1416635_at",-11.6867693143174,10.5274872651802,-18.0193588520447,3.76127008058154e-15,2.47733496652401e-13,21.8494666451702
"1452001_at",-11.9457948111236,10.6802716859457,-18.0030158312806,3.83619926980551e-15,2.47733496652401e-13,21.8359489098774
"1434068_s_at",-11.8603617084496,11.6137897247124,-18.0012828494461,3.84423515089072e-15,2.47733496652401e-13,21.8345144343267
"1423961_at",-12.2469909859777,12.82980393748,-17.9831147642555,3.92954262122912e-15,2.49664320624853e-13,21.8194633065585
"1450053_at",-10.8806645859142,10.0794550678465,-17.9585405394397,4.04807422156836e-15,2.52174257469324e-13,21.7990687340212
"1419169_at",-11.8586114169124,10.5112889474926,-17.9518770907516,4.08085142878756e-15,2.52174257469324e-13,21.7935314066906
"1416593_at",-11.9815717768692,10.7230187691573,-17.9394965906954,4.1424855106204e-15,2.52523677546062e-13,21.7832350226489
"1450792_at",-13.1865318397652,12.0937697480822,-17.9102366720734,4.29202974183532e-15,2.58151282205589e-13,21.7588583099045
"1427270_a_at",-11.3212855141072,11.6280310222114,-17.8987183876721,4.35242888335171e-15,2.58225709059926e-13,21.7492459578766
"1423082_at",-10.8615852736433,10.0309537564869,-17.885414477984,4.42329311471927e-15,2.58225709059926e-13,21.7381319247618
"1417864_at",-11.751897389206,10.8917525817275,-17.8776881392506,4.46499785118027e-15,2.58225709059926e-13,21.7316716961666
"1448812_at",-11.019036084849,10.2533340028731,-17.7579439682762,5.16631944768017e-15,2.91549902160749e-13,21.6310142707985
"1460624_at",-10.8503336793797,11.4769244876882,-17.7552076965407,5.18362324487192e-15,2.91549902160749e-13,21.6287023388191
"1422572_at",-11.3779483841985,10.3740717203173,-17.7460250868024,5.24213464211531e-15,2.91549902160749e-13,21.6209398902268
"1417379_at",-10.9856742617168,10.5519290215442,-17.7231469146822,5.39092098935455e-15,2.91549902160749e-13,21.6015740126123
"1415907_at",-11.3034364762609,10.582048773082,-17.7155459871554,5.44131951708291e-15,2.91549902160749e-13,21.5951317723336
"1436208_at",-10.8710144251549,11.2142988013414,-17.7079324462441,5.49229310285084e-15,2.91549902160749e-13,21.5886747264965
"1451316_a_at",-12.1962682280781,11.4421795542987,-17.6836628945224,5.6581211959412e-15,2.91549902160749e-13,21.5680641904473
"AFFX-GapdhMur/M32599_M_at",-12.9296368850268,11.9899362598443,-17.6747779892689,5.72012441873078e-15,2.91549902160749e-13,21.5605083321446
"AFFX-GapdhMur/M32599_5_at",-12.9849708520863,12.0255361460088,-17.6688385841335,5.76196622488727e-15,2.91549902160749e-13,21.5554542318449
"1454757_s_at",-10.0080971936153,9.45664861279583,-17.6645164200654,5.7926149375533e-15,2.91549902160749e-13,21.5517747301874
"1420088_at",-12.422634282323,11.9414909694314,-17.6616743465985,5.81286059925485e-15,2.91549902160749e-13,21.5493545176135
"AFFX-r2-Bs-dap-5_at",-11.0053412215898,10.7902513370446,-17.6603539745264,5.82229136265867e-15,2.91549902160749e-13,21.5482299376479
"1423883_at",-12.0519417760103,12.2637382752523,-17.652127278273,5.88141013004394e-15,2.91549902160749e-13,21.5412203357848
"1418895_at",-11.2472584811591,10.2150652422389,-17.6424255396595,5.95193193953356e-15,2.91838749774303e-13,21.5329476982275
"1417615_a_at",-10.700752924462,11.6300158358706,-17.6315131892221,6.03230560390351e-15,2.92599253539879e-13,21.5236347275342
"AFFX-DapX-5_at",-10.7295981015881,10.525421458983,-17.6162863115242,6.14634846116546e-15,2.94959339450185e-13,21.5106253346041
"1428804_at",-10.7262615605561,9.58716329782834,-17.5917505910569,6.33485115299465e-15,3.00490758604434e-13,21.4896277358485
"1426799_at",-11.6325828606742,10.8231175909551,-17.5841016773378,6.39483769142666e-15,3.00490758604434e-13,21.4830729705697
"1453412_a_at",-9.8591466827199,8.64761176710146,-17.5711038492923,6.49813161226687e-15,3.02196615494184e-13,21.4719247745938
"1416979_at",-10.6089071985614,9.9594641649399,-17.5580277989032,6.60379920586026e-15,3.03976920588119e-13,21.4606972033097
"1451068_s_at",-10.9902285771707,12.2467611435538,-17.5367157471823,6.77986822197447e-15,3.05879323249793e-13,21.4423714557285
"1417480_at",-12.0780090570399,12.6070109788115,-17.5354220794135,6.79071175571144e-15,3.05879323249793e-13,21.4412580037566
"1443962_at",-11.9536284772344,11.8955126544383,-17.5285578158579,6.84855057597631e-15,3.05879323249793e-13,21.4353479488537
"1429392_at",-11.2651876129476,11.0540936024155,-17.5116394024069,6.99330448088063e-15,3.07559563249823e-13,21.420766819636
"1425704_at",-12.5144304548484,12.2982656723354,-17.5082677616787,7.02253048431208e-15,3.07559563249823e-13,21.4178584939995
"1433510_x_at",-10.0837856966583,11.089615055242,-17.4884885002682,7.1965581889313e-15,3.12150711444895e-13,21.4007805968772
"1417336_a_at",-10.9198050471067,9.67267772371811,-17.4676093483944,7.38513637479196e-15,3.17279525587491e-13,21.3827221913083
"1434061_at",-10.5346456862198,9.42354023927638,-17.4082416255291,7.949940189622e-15,3.38322454673442e-13,21.3312013523288
"1450753_at",-9.28595685380221,9.44608485752171,-17.3847055826858,8.18612410769796e-15,3.45117811680612e-13,21.3107048174878
"1419480_at",-12.3463962344048,11.4110091219054,-17.3589776559468,8.452669368644e-15,3.51083143450492e-13,21.2882529524041
"1423294_at",-10.6733975539143,10.6898911573965,-17.3560774381055,8.48327701975253e-15,3.51083143450492e-13,21.2857189812783
"1417380_at",-11.0076731416396,10.5577585474721,-17.3429890362629,8.62284687028666e-15,3.53430854283809e-13,21.2742757122945
"1448739_x_at",-11.369366541806,12.7052875369145,-17.3361519470989,8.6967024663052e-15,3.53430854283809e-13,21.2682929853901
"1415716_a_at",-11.736560676186,12.7952590830544,-17.3063007463766,9.02694994501226e-15,3.60701053691474e-13,21.2421315792672
"1435478_at",-11.7703672655475,12.1592749861861,-17.3055415223517,9.03551741678931e-15,3.60701053691474e-13,21.2414653415138
"1439153_at",-11.5669591515928,10.178847762925,-17.2899657217555,9.21316141314531e-15,3.64566413462267e-13,21.2277877798689
"1456381_x_at",-10.4861794712268,10.2162403617241,-17.2694110138229,9.45316615860811e-15,3.7081071775201e-13,21.2097105852958
"1448993_at",-10.3093233451014,9.620138555447,-17.2447260658632,9.75001440593636e-15,3.79157887803267e-13,21.1879595295398
"1417214_at",-11.7904673546346,10.4461764249945,-17.2352185371414,9.86691803621108e-15,3.80424506507249e-13,21.1795699159583
"1450641_at",-12.7564144599226,11.597328803268,-17.2008185011638,1.03022190770425e-14,3.9384161234355e-13,21.1491584193368
"1418575_at",-11.2143820503929,10.5327539228595,-17.1911829173715,1.04276946936486e-14,3.94111224205204e-13,21.1406242004634
"1450878_at",-10.5763165971085,9.83194442407733,-17.1868978286969,1.04840050775049e-14,3.94111224205204e-13,21.1368266748435
"1417056_at",-10.6349448500161,10.2249311574063,-17.16153201497,1.08238768170549e-14,4.03524862163095e-13,21.1143188579313
"1417001_a_at",-10.5593746018567,10.4139419374807,-17.1493021903986,1.09918161623451e-14,4.06426907445398e-13,21.1034497445671
"1449514_at",-10.256492613975,9.08335384407838,-17.1071222330111,1.15921154298832e-14,4.25138477269945e-13,21.0658765346857
"1417266_at",-11.8361242313464,11.6548450716586,-17.0575560381074,1.23413437930879e-14,4.48966143956608e-13,21.0215522672719
"1437497_a_at",-9.55007411087042,9.42106876895776,-17.0015960121747,1.32480668528425e-14,4.78096236585379e-13,20.9712865462675
"1452196_a_at",-10.3677489136163,9.38392844583757,-16.9606071566379,1.39559818720444e-14,4.98268207251177e-13,20.9343172470237
"1436531_at",-11.2001387091656,11.122073222387,-16.9565620311502,1.40279455377742e-14,4.98268207251177e-13,20.9306618448417
"1449323_a_at",-11.2481741494728,12.4870577303902,-16.9185503364294,1.47233299567026e-14,5.18882354958479e-13,20.8962510979448
"1435450_at",-10.3725664433013,9.31118725957058,-16.8995173378357,1.50848929603473e-14,5.27503504993231e-13,20.8789794648635
"1417816_s_at",-10.3615643793348,10.0145419416423,-16.8867870615632,1.53318676906963e-14,5.31760373083566e-13,20.8674117245674
"1422123_s_at",-11.9598488121173,10.8888138525325,-16.8811592415479,1.54423872476052e-14,5.31760373083566e-13,20.862293860051
"1447903_x_at",-10.8067983746468,9.88008675755444,-16.8573263757222,1.59196802081876e-14,5.38580174768792e-13,20.8405934828721
"1426971_at",-10.790646340508,9.53409548181541,-16.8561412053146,1.59438118685703e-14,5.38580174768792e-13,20.8395132127223
"1459765_s_at",-11.098661838617,12.0733715643179,-16.8460642670482,1.61505346529992e-14,5.38580174768792e-13,20.830323803749
